frame,track_id,pred_x,pred_y,x,y,vel_x,vel_y,prediction_error
2,0,40,150,52.9354,150,6.46445,0,13
2,1,205,40,205,55.9204,0,7.95624,16
2,2,275,340,275,322.09,0,-8.95077,18
2,3,450,190,430.099,186.02,-9.9453,-1.98906,20.3961
3,0,59.3998,150,66.8578,150,13.6961,0,7.6002
3,1,205,63.8767,205,71.8481,0,15.6857,8.12332
3,2,275,313.139,275,304.171,0,-17.6464,9.13874
3,3,420.154,184.031,410.19,182.038,-19.6071,-3.92142,10.3552
4,0,80.554,150,82.5959,150,14.9167,0,2.44603
4,1,205,87.5337,205,87.923,0,15.9184,0.46626
4,2,275,286.525,275,286.087,0,-17.9081,0.524543
4,3,390.583,178.117,390.096,178.019,-19.8979,-3.97959,0.594368
5,0,97.5127,150,100.03,150,16.043,0,3.48733
5,1,205,103.841,205,103.956,0,15.9696,0.158669
5,2,275,268.179,275,268.05,0,-17.9658,0.178503
5,3,370.198,174.04,370.055,174.011,-19.962,-3.9924,0.202265
6,0,116.073,150,118.624,150,17.0196,0,3.92717
6,1,205,119.925,205,119.974,0,15.9881,0.0745457
6,2,275,250.084,275,250.029,0,-17.9866,0.0838639
6,3,350.093,170.019,350.033,170.007,-19.9852,-3.99703,0.0950275
7,0,135.644,150,138.906,150,18.1905,0,5.3561
7,1,205,135.962,205,135.985,0,15.9964,0.037981
7,2,275,232.043,275,232.017,0,-17.996,0.0427286
7,3,330.047,166.009,330.019,166.004,-19.9955,-3.99911,0.0484164
8,0,157.096,150,160.575,150,19.4196,0,5.90372
8,1,205,151.982,205,151.992,0,16.0003,0.018415
8,2,275,214.021,275,214.009,0,-18.0003,0.0207168
8,3,310.023,162.005,310.009,162.002,-20.0003,-4.00007,0.0234746
9,0,179.995,150,184.067,150,20.8595,0,7.00548
9,1,205,167.993,205,167.997,0,16.0018,0.00729484
9,2,275,196.008,275,196.003,0,-18.002,0.0082067
9,3,290.009,158.002,290.004,158.001,-20.0022,-4.00044,0.00929913
10,1,205,183.999,205,183.999,0,16.002,0.00128555
10,0,204.926,150,209.599,150,22.5167,0,8.07379
10,3,270.002,154,270.001,154,-20.0025,-4.00051,0.00163876
10,2,275,178.001,275,178.001,0,-18.0023,0.00144624
