frame,track_id,pred_x,pred_y,x,y,vel_x,vel_y,prediction_error
2,0,60,150,77.9105,150,8.95077,0,18
2,1,205,30,205,45.9204,0,7.95624,16
2,2,275,340,275,322.09,0,-8.95077,18
2,3,450,190,430.099,186.02,-9.9453,-1.98906,20.3961
3,0,86.8613,150,95.8291,150,17.6464,0,9.13874
3,1,205,53.8767,205,61.8481,0,15.6857,8.12332
3,2,275,313.139,275,304.171,0,-17.6464,9.13874
3,3,420.154,184.031,410.19,182.038,-19.6071,-3.92142,10.3552
4,0,113.475,150,113.913,150,17.9081,0,0.524543
4,1,205,77.5337,205,77.923,0,15.9184,0.46626
4,2,275,286.525,275,286.087,0,-17.9081,0.524543
4,3,390.583,178.117,390.096,178.019,-19.8979,-3.97959,0.594368
5,0,131.821,150,131.95,150,17.9658,0,0.178503
5,1,205,93.8413,205,93.9559,0,15.9696,0.158669
5,2,275,268.179,275,268.05,0,-17.9658,0.178503
5,3,370.198,174.04,370.055,174.011,-19.962,-3.9924,0.202265
6,0,149.916,150,149.971,150,17.9866,0,0.0838639
6,1,205,109.925,205,109.974,0,15.9881,0.0745457
6,2,275,250.084,275,250.029,0,-17.9866,0.0838639
6,3,350.093,170.019,350.033,170.007,-19.9852,-3.99703,0.0950275
7,0,167.957,150,167.983,150,17.996,0,0.0427286
7,1,205,125.962,205,125.985,0,15.9964,0.037981
7,2,275,232.043,275,232.017,0,-17.996,0.0427286
7,3,330.047,166.009,330.019,166.004,-19.9955,-3.99911,0.0484164
8,0,185.979,150,185.991,150,18.0003,0,0.0207168
8,1,205,141.982,205,141.992,0,16.0003,0.018415
8,2,275,214.021,275,214.009,0,-18.0003,0.0207168
8,3,310.023,162.005,310.009,162.002,-20.0003,-4.00007,0.0234746
9,0,203.992,150,203.997,150,18.002,0,0.0082067
9,1,205,157.993,205,157.997,0,16.0018,0.00729484
9,2,275,196.008,275,196.003,0,-18.002,0.0082067
9,3,290.009,158.002,290.004,158.001,-20.0022,-4.00044,0.00929913
10,0,221.999,150,221.999,150,18.0023,0,0.00144624
10,1,205,173.999,205,173.999,0,16.002,0.00128555
10,2,275,178.001,275,178.001,0,-18.0023,0.00144624
10,3,270.002,154,270.001,154,-20.0025,-4.00051,0.00163876
