frame,track_id,pred_x,pred_y,x,y,vel_x,vel_y,prediction_error
2,0,40,150,57.9105,150,8.95077,0,18
2,1,205,40,205,55.9204,0,7.95624,16
2,2,275,340,275,322.09,0,-8.95077,18
2,3,450,190,430.099,186.02,-9.9453,-1.98906,20.3961
3,0,66.8613,150,75.8291,150,17.6464,0,9.13874
3,1,205,63.8767,205,71.8481,0,15.6857,8.12332
3,2,275,313.139,275,304.171,0,-17.6464,9.13874
3,3,420.154,184.031,410.19,182.038,-19.6071,-3.92142,10.3552
4,0,93.4755,150,93.9134,150,17.9081,0,0.524543
4,4,120,330,133.93,314.08,6.96171,-7.95624,21.2603
4,1,205,87.5337,205,87.923,0,15.9184,0.46626
4,2,275,286.525,275,286.087,0,-17.9081,0.524543
4,3,390.583,178.117,390.096,178.019,-19.8979,-3.97959,0.594368
5,0,111.821,150,111.95,150,17.9658,0,0.178503
5,4,140.892,306.123,147.867,294.227,13.725,-19.4917,14.0534
5,1,205,103.841,205,103.956,0,15.9696,0.158669
5,2,275,268.179,275,268.05,0,-17.9658,0.178503
5,3,370.198,174.04,370.055,174.011,-19.962,-3.9924,0.202265
6,0,129.916,150,129.971,150,17.9866,0,0.0838639
6,4,161.592,274.735,161.933,272.452,13.9286,-20.8565,2.76529
6,1,205,119.925,205,119.974,0,15.9881,0.0745457
6,2,275,250.084,275,250.029,0,-17.9866,0.0838639
6,3,350.093,170.019,350.033,170.007,-19.9852,-3.99703,0.0950275
7,6,70,255,84.9254,245.05,7.45898,-4.97265,18.0278
7,0,147.957,150,147.983,150,17.996,0,0.0427286
7,4,175.861,251.595,175.961,247.557,13.9734,-22.6635,5.59698
7,1,205,135.962,205,135.985,0,15.9964,0.037981
7,2,275,232.043,275,232.017,0,-17.996,0.0427286
7,3,330.047,166.009,330.019,166.004,-19.9955,-3.99911,0.0484164
8,6,92.3844,240.077,99.8576,235.095,14.7053,-9.80355,9.15283
8,0,165.979,150,165.991,150,18.0003,0,0.0207168
8,4,189.935,224.893,189.977,220.415,13.9896,-24.3777,6.89331
8,1,205,151.982,205,151.992,0,16.0003,0.018415
8,2,275,214.021,275,214.009,0,-18.0003,0.0207168
8,3,310.023,162.005,310.009,162.002,-20.0003,-4.00007,0.0234746
9,6,114.563,225.291,114.928,225.048,14.9235,-9.94897,0.525352
9,0,183.992,150,183.997,150,18.002,0,0.0082067
9,4,203.967,196.037,203.987,189.924,13.9969,-26.572,10.0369
9,1,205,167.993,205,167.997,0,16.0018,0.00729484
9,2,275,196.008,275,196.003,0,-18.002,0.0082067
9,3,290.009,158.002,290.004,158.001,-20.0022,-4.00044,0.00929913
10,6,129.851,215.099,129.959,215.028,14.9715,-9.981,0.178778
10,0,201.999,150,201.999,150,18.0023,0,0.00144624
10,1,205,183.999,205,183.999,0,16.002,0.00128555
10,4,217.984,163.352,217.993,156.663,14.0002,-28.9354,11.3525
10,3,270.002,154,270.001,154,-20.0025,-4.00051,0.00163876
10,2,275,178.001,275,178.001,0,-18.0023,0.00144624
