frame,track_id,pred_x,pred_y,x,y,vel_x,vel_y,prediction_error
2,0,40,150,57.9105,150,8.95077,0,18
2,1,205,40,205,55.9204,0,7.95624,16
2,2,275,340,275,322.09,0,-8.95077,18
2,3,450,190,430.099,186.02,-9.9453,-1.98906,20.3961
3,0,66.8613,150,75.8291,150,17.6464,0,9.13874
3,1,205,63.8767,205,71.8481,0,15.6857,8.12332
3,2,275,313.139,275,304.171,0,-17.6464,9.13874
3,3,420.154,184.031,410.19,182.038,-19.6071,-3.92142,10.3552
4,0,93.4755,150,93.9134,150,17.9081,0,0.524543
4,1,205,87.5337,205,87.923,0,15.9184,0.46626
4,2,275,286.525,275,286.087,0,-17.9081,0.524543
4,3,390.583,178.117,390.096,178.019,-19.8979,-3.97959,0.594368
4,4,120,330,133.93,314.08,6.96171,-7.95624,21.2603
5,0,111.821,150,111.95,150,17.9658,0,0.178503
5,1,205,103.841,205,103.956,0,15.9696,0.158669
5,2,275,268.179,275,268.05,0,-17.9658,0.178503
5,3,370.198,174.04,370.055,174.011,-19.962,-3.9924,0.202265
5,4,140.892,306.123,147.867,294.227,13.725,-19.4917,14.0534
6,0,129.916,150,129.971,150,17.9866,0,0.0838639
6,1,205,119.925,205,119.974,0,15.9881,0.0745457
6,5,430,60,350.08,169.89,-23.9808,32.9736,136.015
6,3,350.093,170.019,301.305,221.982,-38.6368,15.8981,109.709
6,2,275,250.084,201.584,264.323,-28.1019,-12.5155,115.106
6,4,161.592,274.735,85.13,258.26,-31.9805,-29.3397,93.694
7,0,147.957,150,147.983,150,17.996,0,0.0427286
7,1,205,135.962,205,135.985,0,15.9964,0.037981
7,2,173.482,251.807,175.015,248.271,-27.5514,-13.7851,6.32964
7,3,262.668,237.881,270.178,234.299,-35.9409,14.6125,13.662
7,4,53.1495,228.92,76.1397,240.527,-21.6945,-24.1468,35.6793
7,5,326.099,202.864,329.699,168.84,-20.8007,2.92216,37.0697
8,2,147.464,234.486,172.527,224.772,-18.696,-17.2172,45.6188
8,4,54.4451,216.38,84.0421,228.477,-10.3655,-19.5163,49.2133
8,5,308.899,171.762,309.796,163.805,-20.2773,-1.71774,9.82403
8,6,80,40,165.828,149.781,34.3279,43.9078,139.628
8,0,165.979,150,188.971,151.178,26.1196,0.416374,39.0719
8,1,205,151.982,246.246,188.524,14.5731,28.9079,93.5216
8,3,234.237,248.912,302.448,284.907,-11.8406,27.3302,130.892
9,0,215.091,151.595,197.018,150.668,19.7294,0.0885842,31.1318
9,1,260.819,217.432,269.062,204.974,17.4878,24.5028,25.6992
9,5,289.519,162.087,289.863,159.168,-20.1249,-3.013,4.11522
9,4,73.6766,208.961,98.8423,218.729,-1.33144,-16.0099,44.3268
9,2,153.831,207.555,182.994,195.025,-8.38467,-21.6474,54.6031
9,6,200.156,193.688,204.791,169.106,38.6507,20.9816,26.1411
10,1,286.55,229.477,279.865,199.682,15.117,13.9365,52.7566
10,4,97.5109,202.719,116.654,209.955,5.43237,-13.4531,34.7328
10,5,269.738,156.155,269.907,154.761,-20.0601,-3.54534,2.1708
10,6,243.442,190.088,211.661,185.055,19.8541,18.0049,38.9212
10,2,174.609,173.378,190.463,159.847,-2.76232,-26.446,36.0108
10,0,216.747,150.756,217.472,151.476,19.9865,0.34386,1.76507
