object_id,frame,x,y
0,1,40,150
0,2,58,150
0,3,76,150
0,4,94,150
0,5,112,150
0,6,130,150
0,7,148,150
0,8,166,150
0,9,184,150
0,10,202,150
1,1,205,40
1,2,205,56
1,3,205,72
1,4,205,88
1,5,205,104
1,6,205,120
1,7,205,136
1,8,205,152
1,9,205,168
1,10,205,184
2,1,450,190
2,2,430,186
2,3,410,182
2,4,390,178
2,5,370,174
2,6,350,170
2,7,330,166
2,8,310,162
2,9,290,158
2,10,270,154
3,1,275,340
3,2,275,322
3,3,275,304
3,4,275,286
3,5,275,268
3,6,275,250
3,7,275,232
3,8,275,214
3,9,275,196
3,10,275,178
4,3,120,330
4,4,134,314
4,5,148,294
4,6,162,272
4,7,176,246
4,8,190,218
4,9,204,186
4,10,218,152
5,6,70,255
5,7,85,245
5,8,100,235
5,9,115,225
5,10,130,215
