frame,track_id,pred_x,pred_y,x,y,vel_x,vel_y,prediction_error
2,0,58,151,78.8956,150.005,10.4426,-0.497265,21.0238
2,1,207,32,206.005,46.9254,-0.497265,7.45898,15.0333
2,2,275,342,274.005,325.085,-0.497265,-8.45351,17.0294
2,3,454,189,429.124,186.015,-12.4316,-1.4918,25.1794
3,0,89.3381,149.508,94.8941,149.991,15.8299,-0.0288427,5.68322
3,1,205.508,54.3844,203.047,58.9137,-2.88338,11.8508,5.25286
3,2,273.508,316.631,274.972,300.311,0.92267,-24.2781,16.6978
3,3,416.693,184.523,409.144,186.954,-19.7513,0.864984,8.08161
4,0,110.724,149.962,114.294,150.829,17.9637,0.489157,4.4002
4,1,200.164,70.7645,200.862,73.4655,-2.46597,13.4654,3.34192
4,2,275.895,276.033,275.148,281.014,0.476175,-21.3005,6.03377
4,3,389.393,187.819,385.726,178.787,-21.9433,-4.53365,11.6764
5,0,132.257,151.318,130.628,151.088,17.2347,0.386563,2.27957
5,1,198.396,86.9309,206.05,92.0335,0.958608,15.7483,12.7444
5,2,275.624,259.714,273.73,266.417,-0.371231,-18.3016,9.6498
5,3,363.782,174.253,368.27,174.071,-19.9353,-4.61551,6.22282
6,0,147.863,151.475,148.602,151.816,17.5175,0.51714,1.25272
6,1,207.009,107.782,205.054,108.573,0.210379,16.0513,3.24596
6,2,273.359,248.115,274.425,249.34,0.036937,-17.8328,2.49928
6,3,348.335,169.455,348.117,169.809,-20.0186,-4.47998,0.639754
7,0,166.119,152.333,167.265,152.13,17.9287,0.444294,1.91018
7,1,205.264,124.625,205.103,125.462,0.152592,16.352,1.40064
7,2,274.462,231.507,279.053,232.416,1.68489,-17.5064,7.68445
7,3,328.099,165.329,328.648,164.52,-19.8216,-4.77055,1.60586
8,0,185.193,152.575,185.669,151.058,18.0967,-0.0917001,2.69801
8,1,205.256,141.814,205.694,141.334,0.307495,16.1825,1.10294
8,2,280.737,214.91,279.714,215.552,1.32317,-17.2794,2.0512
8,3,308.826,159.749,309.518,162.843,-19.5772,-3.67739,5.38049
9,0,203.765,150.966,202.158,149.242,17.5283,-0.701285,4.05503
9,1,206.002,157.517,205.419,155.473,0.10158,15.4596,3.65683
9,2,281.037,198.273,275.784,198.114,-0.534211,-17.3355,9.041
9,3,289.941,159.166,289.394,159.069,-19.7705,-3.71144,0.955068
10,1,205.521,170.932,207.535,173.865,0.815679,16.4999,6.14699
10,0,219.686,148.541,221.025,149.964,18.0033,-0.196449,3.37678
10,3,269.623,155.358,270.42,155.73,-19.4879,-3.57965,1.51903
10,2,275.25,180.779,272.79,178.592,-1.40651,-18.1111,5.68665
